ID,Name(Romaji),Name(Localised),Nickname,Gender,Passive ID,Role,Game,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Shot AT,Focus AT,Focus DF,Scramble AT,Scramble DF,Castle Wall DF,KP,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,,男 (Male),,選手 (Player),,GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,187,233,243.5,202,195,203,955,Keep > Keep,Keep > Keep | Shoot > Shoot
133,Juro Yagyu,Sam Samurai,,男 (Male),,選手 (Player),,FW,DF,林 (Forest),Breach,Power Shot | Quick Draw | Shadow Stitch,230,273,231.5,170,172,164,733,Shoot > Defense,Offense > Shoot | Defense > Defense
134,Hanzo Hatsutori,Hank Sullivan,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Bond,Deceptive Step | Afterimage | Flurry Dash,210,266.5,244.5,186,185,177,767,Offense > Offense,Defense > Defense | Defense > Defense
135,Saiji Kirigakure,Sail Bluesea,,男 (Male),,選手 (Player),,FW,DF,火 (Fire),Breach,Low Drive | Dirt Ball | Afterimage,232,274.5,232.5,171,175,166,737,Shoot > Shoot,Defense > Shoot | Defense > Defense
136,Yasaburo Hachiya,John Reynolds,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Bond,Low Drive | Flurry Dash | Afterimage,230,273,231.5,170,172,164,733,Shoot > Offense,Offense > Offense | Offense > Defense
137,Dan Kato,Dan Hopper,,男 (Male),,選手 (Player),,DF,FW,山 (Mountain),Counter,Cunning Pull | Sumo Stomp | Condor Dive,174,222,246,213,208,199,852,Defense > Defense,Offense > Defense | Shoot > Shoot
138,Kiyomori Ideura,Cal Trops,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Tension,Dust Kick | Afterimage | Twin Boost,209,264,242.5,185,184,175,762,Offense > Offense,Defense > Shoot | Shoot > Shoot
139,Kazuma Takigawa,Winston Falls,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Rough Play,Dust Kick | Afterimage | Spider Web,209,264,242.5,185,184,175,762,Offense > Offense,Defense > Offense | Defense > Defense
140,Yamon Kido,Kevin Castle,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Bond,Strong Punch | Toughness Block | Whirlwind,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Shoot > Offense
141,Senichi Igajima,Sammy Igajima,,男 (Male),,監督 (Manager),,MF,DF,火 (Fire),Breach,Crosscut Feint | Super Sumo Stomp | Heel Drop,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
142,Yuichi Ayano,Albert Green,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Counter,Strong Punch | Wood Chopper | Infinite Wall,180,225,233.5,196,191,201,925,Keep > Keep,Keep > Keep | Offense > Defense
143,Eisuke Sumino,Seward Hayseed,,男 (Male),,選手 (Player),,DF,FW,山 (Mountain),Bond,Rolling Steal | Kung Fu Header | Whirlwind Twister,167,209,244.5,224,220,208,870,Defense > Shoot,Shoot > Defense | Shoot > Shoot
144,Kazunori Serizawa,Kent Work,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Rolling Steal | Quick Draw | Bamboo Pattern,167,209,244.5,224,220,208,870,Defense > Defense,Offense > Shoot | Shoot > Offense
145,Hiroshi Makiya,Mark Hillvalley,,男 (Male),,選手 (Player),,DF,GK,山 (Mountain),Rough Play,Curving Cut | Harvest | Earthquake,174,222,246,213,208,199,852,Defense > Defense,Defense > Keep | Keep > Keep
146,Hiro Shiotani,Herb Sherman,,男 (Male),,選手 (Player),,DF,FW,火 (Fire),Counter,Curving Cut | Harvest | Grenade Shot,167,209,244.5,224,220,208,870,Defense > Defense,Shoot > Keep | Shoot > Shoot
147,Yo Yamane,Joe Small,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Justice,Crosscut Feint | Harvest | Spinning Cut,209,273.5,253.5,181,183,164,733,Offense > Defense,Defense > Defense | Defense > Defense
148,Shoji Ikui,Ike Steiner,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Breach,Crosscut Feint | Mole Fake | Shine Drive,209,273.5,253.5,181,183,164,733,Offense > Offense,Defense > Defense | Defense > Defense
149,Noboru Ogoi,Orville Newman,,男 (Male),,選手 (Player),,MF,FW,火 (Fire),Justice,Feint Dash | Kung Fu Header | Steeple Shot,209,273.5,253.5,181,183,164,733,Offense > Shoot,Offense > Shoot | Shoot > Shoot
150,Toru Harano,Tom Walters,,男 (Male),,選手 (Player),,MF,FW,山 (Mountain),Rough Play,Crosscut Feint | Run Ball Run | Whirlwind Twister,209,273.5,253.5,181,183,164,733,Offense > Shoot,Offense > Shoot | Shoot > Shoot
151,Daichi Negami,Daniel Dawson,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Bond,Heel Flick | Mole Fake | Run Ball Run,209,273.5,253.5,181,183,164,733,Offense > Offense,Defense > Defense | Shoot > Shoot
152,Shigeki Tanushimaru,Stuart Racoonfur,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Justice,Curve Shot | Shine Drive | Flurry Dash,230,273,231.5,170,172,164,733,Shoot > Shoot,Offense > Offense | Shoot > Offense
153,Hisashi Kusao,Lorne Mower,,男 (Male),,選手 (Player),,GK,FW,山 (Mountain),Breach,Power Catch | Wood Chopper | Table-Turner,176,220,230,193,189,198,913,Keep > Keep,Keep > Shoot | Shoot > Shoot
154,Uehito Yoneyama,Homer Grower,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Breach,Rolling Steal | Mole Fake | Spinning Cut,167,209,244.5,224,220,208,870,Defense > Offense,Defense > Defense | Offense > Defense
155,Shigeki Inukai,Rolf Howells,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Bond,Rolling Steal | Quick Draw | Monkey Turn,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Defense | Shoot > Offense
156,Sakuhei Fukui,Luke Lively,,男 (Male),,選手 (Player),,DF,FW,林 (Forest),Tension,Cunning Pull | Sumo Stomp | Harvest,174,222,246,213,208,199,852,Defense > Defense,Shoot > Defense | Shoot > Shoot
157,Chihiro Fuji,Ben Nevis,,男 (Male),,選手 (Player),,DF,FW,風 (Wind),Rough Play,Shoulder Tackle | Tarzan Kick | Spider Web,167,209,244.5,224,220,208,870,Defense > Shoot,Defense > Defense | Shoot > Shoot
158,Kamekichi Shinno,Turtle Newfield,,男 (Male),,監督 (Manager),,MF,DF,風 (Wind),Counter,Cunning Pull | Water Veil | The Tower,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
159,Yowami Nanzan,John Neville,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Counter,Power Catch | Toughness Block | Wood Chopper,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Defense > Defense
160,Mamoru Nishigaki,Malcolm Night,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Counter,Shoulder Tackle | Dash Accelerator | Spinning Cut,169,213,248.5,226,221,209,881,Defense > Offense,Shoot > Shoot | Shoot > Offense
161,Akihi Megawa,Alfred Meenan,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Curving Cut | Quick Draw | Hurricane Arrows,169,213,248.5,226,221,209,881,Defense > Defense,Offense > Offense | Offense > Defense
162,Dan Mitsumune,Dan Mirthful,,男 (Male),,選手 (Player),,DF,FW,林 (Forest),Rough Play,Feint Play | Spinning Cut | Earthquake,167,209,244.5,224,220,208,870,Defense > Defense,Shoot > Shoot | Shoot > Shoot
163,Ritsuki Kurobe,Ricky Clover,,男 (Male),,選手 (Player),,DF,FW,山 (Mountain),Justice,Cunning Pull | Coil Turn | Hurricane Arrows,167,209,244.5,224,220,208,870,Defense > Defense,Shoot > Defense | Shoot > Shoot
164,Dan Tobiyama,Toby Damian,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Bond,Dust Kick | Back Tornado | Quick Draw,209,273.5,253.5,181,183,164,733,Offense > Shoot,Shoot > Defense | Shoot > Shoot
165,Naoto Yakata,York Nashmith,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Justice,Crosscut Feint | Monkey Turn | Back Tornado,210,275.5,255.5,182,186,166,737,Offense > Offense,Offense > Shoot | Shoot > Shoot
166,Sakito Mogi,Zachary Moore,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Breach,Feint Dash | Illusory Ball | Twin Boost,209,273.5,253.5,181,183,164,733,Offense > Offense,Defense > Defense | Shoot > Shoot
167,Masaru Mukata,Marvin Murdock,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Rough Play,Low Drive | Triangle Z | Back Tornado,232,274.5,232.5,171,175,166,737,Shoot > Shoot,Offense > Shoot | Shoot > Offense
168,Tomo Mukata,Thomas Murdock,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Rough Play,Curve Shot | Back Tornado | Killer Slide,232,274.5,232.5,171,175,166,737,Shoot > Shoot,Shoot > Defense | Shoot > Offense
169,Tsutomu Mukata,Tyler Murdock,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Justice,Low Drive | Spinning Cut | Back Tornado,232,274.5,232.5,171,175,166,737,Shoot > Defense,Shoot > Shoot | Offense > Defense
170,Masanori Dando,Simon Calier,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Tension,Power Catch | Full Power Shield | Dash Accelerator,176,220,230,193,189,198,913,Keep > Keep,Defense > Keep | Defense > Defense
171,Nenji Fukazawa,Brody Gloom,,男 (Male),,選手 (Player),,MF,FW,山 (Mountain),Breach,Crosscut Feint | Dash Accelerator | Ghost Pull,209,273.5,253.5,181,183,164,733,Offense > Offense,Shoot > Keep | Shoot > Shoot
172,Yuichi Mamorino,Victor Talis,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Counter,Crosscut Feint | Whirlwind Twister | Spinning Cut,209,273.5,253.5,181,183,164,733,Offense > Offense,Defense > Shoot | Defense > Defense
173,Yosuke Nakai,Eren Middleton,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Bond,Feint Play | Ghost Pull | Blade Attack,167,209,244.5,224,220,208,870,Defense > Defense,Offense > Shoot | Offense > Defense
174,Seiki Ishii,Peter Wells,,男 (Male),,選手 (Player),,DF,FW,風 (Wind),Bond,Feint Play | Killer Slide | Spinning Shot,174,222,246,213,208,199,852,Defense > Defense,Defense > Shoot | Shoot > Shoot
175,Shugo Nikaido,Seth Nichols,,男 (Male),,監督 (Manager),,DF,FW,風 (Wind),Justice,Rolling Steal | Fire Tornado | The Tower,174,222,246,213,208,199,852,Defense > Shoot,Defense > Defense | Shoot > Shoot
176,Donichi Posei,Paul Siddon,,男 (Male),,選手 (Player),,GK,MF,山 (Mountain),Breach,Strong Punch | Tsunami Wall | Gigant Wall,178,223.5,236.5,197,189,198,935,Keep > Keep,Defense > Keep | Offense > Defense
177,Hikaru Aporo,Apollo Light,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Cunning Pull | Shine Drive | Dash Storm,177,225.5,248.5,215,211,202,863,Defense > Shoot,Defense > Defense | Offense > Defense
178,En Hepai,Jeff Iron,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Counter,Rolling Steal | Dash Storm | Flame Dance,177,225.5,248.5,215,211,202,863,Defense > Offense,Shoot > Shoot | Offense > Defense
179,Ran Aresu,Lane War,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Bond,Cunning Pull | Ghost Pull | Heaven's Time,177,225.5,248.5,215,211,202,863,Defense > Defense,Offense > Defense | Shoot > Offense
180,Geki Deio,Danny Wood,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Bond,Cunning Pull | Mega Quake | Zigzag Spark,177,225.5,248.5,215,211,202,863,Defense > Defense,Defense > Shoot | Offense > Defense
181,Saneki Arute,Artie Mishman,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Rough Play,Nutmeg | Heaven's Time | Illusory Ball,210,266.5,244.5,186,185,177,767,Offense > Offense,Defense > Shoot | Defense > Defense
182,Matsuaki Herume,Arion Matlock,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Rough Play,Heel Flick | Heaven's Time | Cyclone,210,266.5,244.5,186,185,177,767,Offense > Offense,Offense > Defense | Defense > Defense
183,Tomo Atena,Wesley Knox,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Justice,Dust Kick | Dash Storm | Spinning Cut,210,266.5,244.5,186,185,177,767,Offense > Offense,Defense > Defense | Defense > Defense
184,Yutaka Demete,Jonas Demetrius,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Tension,Low Drive | Reflect Buster | Dash Storm,232,274.5,232.5,171,175,166,737,Shoot > Shoot,Offense > Shoot | Shoot > Offense
185,Terumi Afuro,Byron Love,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Breach,Dust Kick | God Knows | Heaven's Time,216,273,251.5,192,191,183,798,Offense > Shoot,Shoot > Shoot | Shoot > Shoot
186,Tadashi Hera,Henry House,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Bond,Feint Dash | Divine Arrows | Killer Slide,210,266.5,244.5,186,185,177,767,Offense > Shoot,Shoot > Offense | Defense > Defense
187,Michiyuki Ika,Iggy Russ,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Bond,Strong Punch | Tsunami Wall | Galatyn,176,220,230,193,189,198,913,Keep > Keep,Keep > Keep | Offense > Defense
188,Tamamatsu Aki,Gus Heeley,,男 (Male),,選手 (Player),,FW,DF,山 (Mountain),Bond,Chip Shot | Blade Attack | Ghost Pull,219,261.5,234,181,183,172,749,Shoot > Defense,Shoot > Defense | Defense > Defense
189,Resu Heraku,Harry Closs,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Counter,Cunning Pull | Sumo Stomp | Earthquake,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Offense | Offense > Defense
190,Tokio Kurono,Andy Chronic,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Breach,Rolling Steal | Heaven's Time | Kung Fu Header,167,209,244.5,224,220,208,870,Defense > Offense,Offense > Offense | Shoot > Offense
191,Usa Medo,Ned Yousef,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Justice,Feint Dash | Spider Web | Freeze Shot,209,273.5,253.5,181,183,164,733,Offense > Defense,Shoot > Defense | Defense > Defense
192,Hiroto Munakata,Herman Muller,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Justice,Mighty Save | Fireball Knuckle | Rocket Kobushi,176,220,230,193,189,198,913,Keep > Keep,Defense > Keep | Defense > Defense
193,Kaito Hideyama,Keth Claus,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Justice,Shoulder Tackle | Dash Accelerator | Killer Slide,167,209,244.5,224,220,208,870,Defense > Offense,Offense > Defense | Shoot > Offense
194,Ryota Kitagaki,Robert Silver,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Rough Play,Feint Play | Flurry Dash | Bewildered,167,209,244.5,224,220,208,870,Defense > Offense,Defense > Defense | Shoot > Offense
195,Itsuki Sejima,Izzy Island,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Tension,Curving Cut | Spider Web | Thief's Eye,174,222,246,213,208,199,852,Defense > Defense,Defense > Offense | Offense > Defense
196,Sota Shintake,Sothern Newman,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Tension,Cunning Pull | Dash Accelerator | Earthquake,174,222,246,213,208,199,852,Defense > Offense,Offense > Keep | Shoot > Offense
197,Haru Ikejiri,Irwin Hall,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Counter,Nutmeg | Dash Accelerator | Bewildered,209,273.5,253.5,181,183,164,733,Offense > Offense,Shoot > Offense | Defense > Defense
198,Hibiki Terasaka,Taylor Higgins,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Bond,Feint Dash | Coil Turn | Zigzag Spark,209,273.5,253.5,181,183,164,733,Offense > Defense,Shoot > Offense | Defense > Defense
199,Sora Kozu,Jamie Cool,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Justice,Feint Dash | Flurry Dash | Quick Draw,209,264,242.5,185,184,175,762,Offense > Offense,Defense > Offense | Shoot > Shoot
200,Ryusuke Hazama,Hans Randall,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Bond,Bounce Shot | Dash Accelerator | Zigzag Spark,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Shoot | Shoot > Offense
201,Rikuto Morimoto,Michael Riverside,,男 (Male),,選手 (Player),,MF,FW,山 (Mountain),Tension,Deceptive Step | Dash Accelerator | Quick Draw,209,273.5,253.5,181,183,164,733,Offense > Offense,Shoot > Shoot | Shoot > Shoot
202,Mako Kisaragi,Millie Moonlight,,女 (Female),,選手 (Player),,FW,MF,林 (Forest),Counter,Low Drive | Dash Accelerator | Rainbow Arc,232,274.5,232.5,171,175,166,737,Shoot > Offense,Offense > Shoot | Offense > Defense
203,Kaoru Aoshima,Karl Blue,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Rough Play,Crosscut Feint | Flurry Dash | Fake Ball,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Defense | Defense > Defense
204,Kazuya Amai,Theakston Plank,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Breach,Chip Shot | Whirlwind Twister | Spinning Cut,230,273,231.5,170,172,164,733,Shoot > Offense,Shoot > Shoot | Offense > Defense
205,Ken Hirata,Ken Cake,,男 (Male),,選手 (Player),,FW,DF,山 (Mountain),Justice,Power Shot | Spiral Shot | Sumo Stomp,230,273,231.5,170,172,164,733,Shoot > Shoot,Defense > Shoot | Defense > Defense
206,Seiji Hasebe,Mitch Grumble,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Breach,Crosscut Feint | Illusory Ball | Zigzag Spark,209,273.5,253.5,181,183,164,733,Offense > Offense,Defense > Shoot | Defense > Defense
207,Yuichi Oshima,Bart Grantham,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Tension,Strong Punch | Toughness Block | Runaway Train,176,220,230,193,189,198,913,Keep > Keep,Offense > Keep | Offense > Defense
208,Seigo Hibiki,Seymour Hillman,,男 (Male),,監督 (Manager),,GK,FW,山 (Mountain),Breach,Mighty Save | God Hand | Blazing Knuckle,182,227.5,237.5,198,190,200,940,Keep > Keep,Keep > Keep | Shoot > Shoot
209,Kazuto Ukishima,Charles Island,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Curving Cut | Cyclone | Zigzag Spark,169,213,248.5,226,221,209,881,Defense > Defense,Defense > Shoot | Shoot > Offense
210,Kirito Kamimura,Garret Hairtown,,男 (Male),,選手 (Player),,DF,FW,風 (Wind),Justice,Curving Cut | Spinning Cut | Fire Rooster,167,209,244.5,224,220,208,870,Defense > Defense,Shoot > Shoot | Shoot > Shoot
211,Chikara Aida,Arthur Sweet,,男 (Male),,選手 (Player),,DF,FW,山 (Mountain),Bond,Rolling Steal | Cyclone | Dragon Crash,169,213,248.5,226,221,209,881,Defense > Defense,Shoot > Shoot | Shoot > Shoot
212,Manabu Batora,Peter Mildred,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Justice,Dust Kick | Blade Attack | Grenade Shot,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
213,Yo Nakama,Josh Nathaniel,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Rough Play,Nutmeg | Zigzag Spark | Utter Gutsiness Bat,209,264,242.5,185,184,175,762,Offense > Offense,Defense > Defense | Defense > Defense
214,Gengoro Ikari,Edward Gladstone,,男 (Male),,選手 (Player),,MF,FW,火 (Fire),Tension,Nutmeg | Cross Drive | Spinning Cut,209,273.5,253.5,181,183,164,733,Offense > Shoot,Shoot > Offense | Shoot > Shoot
215,Tamotsu Teira,Tyler Thomas,,男 (Male),,選手 (Player),,MF,FW,山 (Mountain),Tension,Heel Flick | Cross Drive | Illusory Ball,209,273.5,253.5,181,183,164,733,Offense > Shoot,Shoot > Offense | Shoot > Shoot
216,Yo Tamiyama,Joseph Yosemite,,男 (Male),,選手 (Player),,FW,DF,風 (Wind),Counter,Low Drive | Phantom Shot | Inazuma Drop,230,273,231.5,170,172,164,733,Shoot > Shoot,Defense > Shoot | Defense > Defense
217,Iwao Sugata,Ian Suffolk,,男 (Male),,選手 (Player),,MF,FW,火 (Fire),Justice,Deceptive Step | Zigzag Spark | Scorching Tackle,209,273.5,253.5,181,183,164,733,Offense > Offense,Shoot > Shoot | Shoot > Shoot
218,Koichi Biruda,Constant Builder,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Rough Play,Curve Shot | Fire Rooster | Scorching Tackle,221,264,236.5,183,185,174,758,Shoot > Shoot,Shoot > Shoot | Shoot > Offense
219,Haito Kunikida,Ted Poe,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Counter,Bounce Shot | Blade Attack | Shadow Stitch,230,273,231.5,170,172,164,733,Shoot > Defense,Defense > Defense | Shoot > Offense
220,Ryoji Michiba,Marshall Heart,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Justice,Chip Shot | Blade Attack | Kung Fu Header,219,261.5,234,181,183,172,749,Shoot > Defense,Offense > Offense | Shoot > Offense
221,Koji Tsuchimori,Dom Foreman,,男 (Male),,選手 (Player),,MF,FW,山 (Mountain),Bond,Dust Kick | Whirlwind Twister | Dirt Ball,209,264,242.5,185,184,175,762,Offense > Offense,Offense > Defense | Shoot > Shoot
222,Ryu Kakeyama,Slot MacHines,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Rough Play,Curving Cut | Killer Slide | Earthquake,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Defense | Shoot > Offense
223,Nao Atsuta,Bill Steakspear,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Tension,Curving Cut | Zigzag Spark | Coil Turn,167,209,244.5,224,220,208,870,Defense > Offense,Defense > Defense | Offense > Defense
224,Jo Ikegaki,Joe Ingram,,男 (Male),,選手 (Player),,GK,FW,火 (Fire),Bond,Mighty Save | Whirlwind | Wood Chopper,176,220,230,193,189,198,913,Keep > Keep,Shoot > Keep | Shoot > Shoot
225,Kiwamu Himejima,Kendall Sefton,,男 (Male),,選手 (Player),,DF,FW,風 (Wind),Justice,Curving Cut | Spinning Cut | Whirlwind Twister,167,209,244.5,224,220,208,870,Defense > Defense,Shoot > Defense | Shoot > Shoot
226,Yasushi Kikuchi,Jason Strike,,男 (Male),,選手 (Player),,DF,FW,火 (Fire),Counter,Feint Play | Quick Draw | Rolling Kick,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Shoot | Shoot > Shoot
227,Hakobu Noma,Norman Porter,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Bond,Cunning Pull | Killer Slide | The Wall,167,209,244.5,224,220,208,870,Defense > Defense,Defense > Offense | Offense > Defense
228,Kyogo Mukaiyama,Maxwell Claus,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Shoulder Tackle | Coil Turn | Blade Attack,167,209,244.5,224,220,208,870,Defense > Defense,Offense > Defense | Offense > Defense
229,Shiito Chaki,Bruce Chaney,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Tension,Crosscut Feint | Grenade Shot | Utter Gutsiness Bat,209,273.5,253.5,181,183,164,733,Offense > Shoot,Shoot > Shoot | Shoot > Shoot
230,Rinsuke Kano,Leroy Rhymes,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Breach,Feint Dash | Dash Accelerator | Whirlwind Twister,209,273.5,253.5,181,183,164,733,Offense > Offense,Shoot > Offense | Shoot > Shoot
231,Seiichi Tachino,Mildford Scott,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Tension,Dust Kick | Fake Ball | Dash Accelerator,209,273.5,253.5,181,183,164,733,Offense > Defense,Defense > Shoot | Defense > Defense
